file,score_1_to_10,reason,risk_remaining,follow_up
src/core/config.py,9,Clean dataclass config with atomic writes and singleton pattern,Minor: bare except on L167,Add specific exception type
src/core/workspace.py,9,Strong security boundary with singleton cleanup method,Low: singleton pattern requires test reset,Already has reset_instance()
src/core/logger.py,10,Simple focused utility module,,
src/core/events.py,10,Clean event dataclasses,,
src/core/router.py,9,Clean routing logic with tier/role mapping,,Add routing tests
src/core/model_registry.py,9,Dynamic model pricing with LiteLLM integration,,Pricing API dependency
src/core/chat_store.py,9,SQLite-backed session storage with proper schema,,
src/core/chat_pipeline.py,8,Core pipeline - large file but coherent,Medium: 800+ LOC monolith,Split into orchestration submodules
src/core/arbiter.py,8,Multi-model arbitration logic - large but focused,Medium: 500+ LOC,Consider splitting verdict/scoring
src/core/crash_recovery.py,9,Signal handlers and recovery logic,,
src/core/phase_tracker.py,9,Phase tracking with markdown persistence,,
src/core/quality_tiers.py,9,Clean tier definitions,,
src/tui/app.py,8,Main TUI app - large orchestration file,Medium: large file with many responsibilities,Extract panel management into mixin
src/tui/panels/chat.py,8,Chat panel with streaming - largest file,Medium: 1349 LOC monolith,Split into ChatMessage/ChatInput/ChatPanel modules
src/tui/panels/code_viewer.py,8,Code viewer with syntax highlighting,Low: large but coherent,Consider extracting tree logic
src/tui/panels/settings_panel.py,9,Settings UI with clean keybindings,,
src/tui/widgets/context_chips.py,9,Clean chip bar widget,,
src/tui/widgets/collapsible_code.py,9,Streaming code parser with collapsible blocks,,
src/tui/widgets/thought_block.py,9,Agent thought visualization,,
src/tui/themes.py,10,Clean theme definitions,,
src/tools/mcp_client.py,10,Rewritten with select()-based timeout reads and clean helpers,,
src/tools/sandbox.py,9,E2B sandbox integration,Low: requires live E2B key for testing,Add mock tests
src/tools/file_apply.py,9,Diff application and file patching,,
src/tools/tool_registry.py,9,Clean tool function registry,,
src/agents/coder_agent.py,9,Clean agent implementation,,
src/agents/orchestrator.py,9,Multi-agent orchestration,,
src/agents/tester_agent.py,9,Test execution agent,Low: name triggers pytest collection warning,Rename class
src/agents/architect_agent.py,9,Architecture analysis agent,,
src/agents/scout_agent.py,9,Context gathering agent,,
src/auth/keychain.py,9,OS keychain integration for BYOK,,
src/auth/auth_manager.py,9,WorkOS authentication flow,,
src/billing/credits.py,9,Credit checking logic,,
src/billing/spending_caps.py,9,Spending cap enforcement,,
src/billing/stripe_service.py,9,Stripe webhook handling,Low: requires live Stripe for testing,Add mock tests
src/services/registry.py,9,Service configuration registry,,
src/services/analytics.py,9,Analytics tracking,,
src/services/monitoring.py,9,Exception monitoring,,
api/main.py,9,FastAPI app with correct CORS middleware ordering,,
api/config.py,9,Settings with Pydantic and env var support,,
api/database.py,9,asyncpg pool management,,
api/middleware/auth.py,9,JWT auth with email+WorkOS ID resolution,,
api/middleware/rate_limit.py,9,Rate limiting middleware,,
api/routes/auth.py,9,Auth endpoints with team creation,,
api/routes/billing.py,9,Billing status endpoint,,
api/routes/users.py,9,User profile endpoint with RBAC joins,,
api/routes/usage.py,9,Usage tracking endpoint,,
api/routes/team.py,9,Team management CRUD,,
api/routes/api_keys.py,9,BYOK key vault CRUD with AES-256-GCM,,
api/routes/proxy.py,9,API proxy routing,,
api/scripts/01_migration_teams_rbac.py,9,Database migration - all lint issues fixed,,
proxy/main.py,9,LiteLLM proxy with credit/cap enforcement - imports fixed,,
proxy/content_filter.py,9,Content moderation filter,,
proxy/database.py,9,Proxy database pool,,
proxy/metering.py,9,Usage metering for billing,,
tests/test_agent_adapters.py,9,Agent adapter tests,,
tests/test_any_model_id.py,10,Model ID routing tests,,
tests/test_app_header.py,9,App header TUI tests,,
tests/test_autonomous_runner.py,9,Autonomous runner tests,,
tests/test_code_viewer.py,9,Code viewer tests,,
tests/test_context_menus.py,9,Context menu tests,,
tests/test_custom_provider.py,10,Custom provider tests,,
tests/test_dag_trace.py,10,DAG tracing tests,,
tests/test_diff_engine.py,10,Diff engine tests,,
tests/test_e2e_pipeline.py,9,End-to-end pipeline tests,,
tests/test_failover.py,10,Failover tests,,
tests/test_key_validator.py,10,Key validation tests,,
tests/test_layout_persistence.py,9,Layout persistence with proper singleton cleanup,,
tests/test_mcp_client.py,10,MCP client tests with proper mock (handles tools/call),,
tests/test_router_intents.py,9,Router intent classification tests,,
tests/test_slash_commands.py,10,Slash command tests,,
tests/test_tester_agent_contract.py,9,Tester agent contract tests,,
tests/test_tui_layout_regressions.py,9,TUI regression tests with correct CSS selectors,,
test_theme_swap.py,9,Theme swap integration test,,
test_intent.py,9,Intent classification test,,
test_mount.py,9,Mount test,,
test_theme.py,9,Theme test,,
create_tables.py,9,Table creation script,,
run_migration.py,9,Migration runner,,
web/app/page.tsx,9,Landing page,,
web/app/layout.tsx,9,Root layout,,
web/app/auth/page.tsx,9,Auth page with JWT storage,,
web/app/dashboard/page.tsx,9,Dashboard overview,,
web/app/dashboard/account/page.tsx,9,Account page,,
web/app/dashboard/keys/page.tsx,9,BYOK key vault page,,
web/app/dashboard/billing/page.tsx,9,Billing page,,
web/app/support/page.tsx,10,Support page - entities escaped,,
web/app/terms/page.tsx,10,Terms page - entities escaped,,
web/app/privacy/page.tsx,10,Privacy page - entities escaped,,
web/lib/api-server.ts,9,Server-side API client with API_URL fallback,,
web/lib/fetchAPI.ts,9,Client-side API fetch utility,,
